Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,zcta
5578,2014,43833,21732,1165,474,3203,3,1257,74884
1929,733,34179,20243,498,10,1585,0,146,74901
4297,1707,45417,22729,683,52,3214,28,518,74902
1684,717,37750,22839,318,1,1184,26,172,74930
1171,436,55250,27007,166,0,453,0,570,74931
2421,870,44671,24493,530,0,1850,0,311,74932
150,57,32188,18371,47,0,83,1,28,74935
1502,512,51295,27246,262,25,906,0,387,74936
5318,1837,43161,21811,1409,51,3459,9,501,74937
1265,212,39167,7829,208,325,754,0,53,74939
2528,808,46200,23334,499,20,1876,0,308,74940
2648,899,52545,25691,634,6,1818,49,328,74941
148,54,41458,19386,27,0,107,0,30,74942
105,37,-666666666,26533,14,0,89,0,0,74943
1128,436,32500,19480,363,9,787,0,138,74944
153,58,45357,21663,33,0,52,0,85,74945
62,23,29375,12337,29,15,33,0,2,74946
115,34,33750,12688,58,0,93,6,12,74947
11266,4488,45012,25062,1956,73,7460,149,2030,74948
199,129,43903,25518,71,0,128,0,59,74949
1367,574,46250,21599,366,5,958,29,107,74951
12413,4329,54172,25374,2108,95,9223,69,1324,74953
4944,1705,57949,25042,542,266,3328,32,581,74954
14471,5410,47136,23128,3666,142,9091,85,3111,74955
2107,794,47194,25705,441,40,1534,87,189,74956
871,373,41875,26065,135,0,538,20,242,74957
6081,2377,48996,25272,1040,298,4344,99,754,74959
11874,4088,45000,19950,2585,41,3619,66,6376,74960
4500,1745,48789,27518,733,171,2411,0,1187,74962
577,222,53750,23729,73,0,371,7,136,74963
2286,839,42574,24436,538,20,1277,83,586,74964
5134,1805,46054,19336,1109,11,2786,123,1410,74965
3449,1246,53534,27833,598,5,2548,0,475,74966
16633,9355,77598,55053,1404,2949,9243,1226,101,75001
72679,22731,119301,49655,3890,9462,45714,7663,504,75002
48062,18491,79672,41217,3777,4361,31228,3409,112,75006
54498,20170,105969,47625,4141,4460,30318,8755,281,75007
28109,8507,153658,53193,1493,1554,21012,1528,183,75009
31609,12616,98567,53892,1802,4988,14963,8497,121,75010
46649,16562,149549,63196,1741,3326,25684,13920,14,75013
44706,16923,136679,70569,1252,2387,24246,13956,171,75019
24486,9509,64734,31030,3927,1591,20020,79,206,75020
8925,3373,61198,29601,1291,287,7921,131,42,75021
27000,9029,179892,73522,1498,759,19275,4253,52,75022
49376,18408,101246,47033,3665,4436,31920,6526,100,75023
43520,17915,114623,67014,1872,4123,19137,15992,182,75024
54201,18492,134740,56605,2650,5335,24467,19356,116,75025
47751,17404,143712,61401,1591,1716,35554,5683,223,75028
36514,12283,132756,59275,696,3186,28371,981,72,75032
47416,15042,165218,64437,860,5339,29928,6014,12,75033
48749,20853,104323,67220,2307,4555,29098,9028,219,75034
83930,26920,154811,59648,2578,7423,37307,29134,317,75035
31792,11343,137902,60597,965,2567,17929,8815,49,75036
32559,13716,69678,43364,3854,10693,9849,9524,102,75038
21795,11306,100474,70913,1379,2719,8639,7962,68,75039
63143,20062,70592,28290,7217,7883,27637,7697,448,75040
31344,9728,62744,27092,5030,1860,14975,813,299,75041
37925,11471,60118,24020,5542,5015,15851,5593,396,75042
64296,22026,72079,30227,6812,14692,27875,4281,526,75043
47010,16357,84016,39440,4026,8490,20894,8187,108,75044
28210,9725,126792,56161,570,3401,16073,5318,345,75048
43856,16155,68421,31609,6254,8499,20201,732,389,75050
40166,13290,49485,21778,7695,5090,17508,876,174,75051
94636,30996,84055,33975,7563,26728,33405,9248,398,75052
17261,4941,154412,51396,630,5903,6574,2573,108,75054
65785,26243,111589,58038,4786,6414,37703,10780,307,75056
17280,6583,73935,34169,2876,2004,10550,428,108,75057
3801,1167,113194,42975,156,43,3033,9,65,75058
48997,14516,67479,25648,6476,2258,21501,3189,352,75060
56319,18697,58236,24995,8428,4594,24699,2473,431,75061
52772,17665,68692,29906,3794,7602,22006,7563,92,75062
44570,17497,106909,52199,3103,5831,9816,26082,218,75063
12787,4646,95403,42057,380,450,10591,295,171,75065
67117,27074,75224,38241,5180,9764,36411,7404,518,75067
68074,21699,119464,44684,4589,13037,35822,7053,781,75068
39048,15279,74967,43389,5737,4218,28950,919,115,75069
57516,21648,101188,49159,2497,7739,33377,10994,354,75070
66298,21977,124763,51262,3694,8529,42848,6289,517,75071
55304,17785,147321,57086,2343,4265,38640,6127,115,75072
51443,17979,78441,38148,6348,5513,27246,6834,167,75074
37032,14600,89081,48759,2185,2359,25778,4972,28,75075
8536,3407,71910,38545,352,0,7630,87,126,75076
39853,13801,120254,52852,1665,2820,29232,3080,147,75077
40513,11942,178254,63630,1067,2960,27848,4992,92,75078
52184,19011,86341,43968,7098,4535,32634,6347,410,75080
36493,14005,88161,42785,3479,7546,20501,4637,95,75081
29386,12184,108869,62563,1800,2748,16527,7288,15,75082
40201,14195,124583,53299,1270,1906,30837,1628,739,75087
27143,9676,101995,44292,1978,4359,18427,1094,223,75088
34974,11364,119332,42078,2658,9473,17517,3361,53,75089
25788,8618,56323,26444,3711,3078,17633,299,63,75090
26588,11598,62741,37190,2276,1667,21491,958,61,75092
47069,19475,121360,80152,2688,3852,29424,9177,123,75093
23370,6384,152461,46995,1013,2161,11078,8856,114,75094
65655,20779,112198,41361,3387,7826,41026,6450,329,75098
668,216,50455,20588,74,164,363,0,29,75101
1877,581,65850,32366,58,32,1552,9,0,75102
16372,6205,67878,34663,1332,209,14978,90,56,75103
49291,16240,84760,35584,4725,24791,15607,945,81,75104
154,47,-666666666,23994,2,32,122,0,0,75105
4466,1593,73021,32694,778,58,3592,4,12,75109
31008,10541,51048,25224,5255,4565,17434,316,73,75110
7123,2281,96484,37127,493,389,5176,34,28,75114
56012,20429,81895,36802,4513,37499,9988,517,62,75115
20145,6907,57245,24203,1863,5313,8469,496,80,75116
4576,1510,93373,46351,695,209,4068,30,3,75117
29509,10230,77225,31916,3235,2536,21220,82,178,75119
5822,1883,76013,29356,575,59,5462,13,55,75124
6920,2162,63684,22477,1092,640,3408,2,303,75125
67852,21282,101456,38342,4985,15812,39437,2114,246,75126
1781,745,58330,40006,243,5,1685,18,38,75127
0,0,-666666666,-666666666,0,0,0,0,0,75132
20179,6849,65114,28212,2065,13387,3456,47,0,75134
8515,2683,88369,34903,305,520,6441,64,51,75135
20013,6742,81160,34094,2193,7611,7785,185,340,75137
