Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,asian_population,black_population,zip code tabulation area
9009.0,4261.0,43891.0,31969.0,2203.0,232.0,3601.0,14209
15342.0,7047.0,41678.0,23927.0,3695.0,95.0,1370.0,14210
23458.0,9465.0,30003.0,20766.0,7724.0,3157.0,15058.0,14211
12127.0,4972.0,31376.0,19605.0,4369.0,2019.0,3668.0,14212
24047.0,9543.0,43650.0,26046.0,7037.0,2907.0,4553.0,14213
21505.0,8418.0,52144.0,30624.0,4723.0,1998.0,6987.0,14214
42600.0,16804.0,37974.0,22024.0,12951.0,1983.0,30128.0,14215
24445.0,11788.0,62243.0,41451.0,4284.0,325.0,3344.0,14216
22839.0,10800.0,61885.0,37454.0,2148.0,190.0,1295.0,14217
20620.0,8775.0,45236.0,24804.0,4348.0,77.0,3050.0,14218
11009.0,5258.0,66763.0,35994.0,1374.0,0.0,65.0,14219
24667.0,10485.0,62643.0,30708.0,2281.0,396.0,861.0,14220
54836.0,23521.0,89001.0,51332.0,3375.0,4203.0,1411.0,14221
16081.0,6779.0,69739.0,44760.0,1192.0,620.0,1935.0,14222
22264.0,10072.0,72939.0,39727.0,1463.0,763.0,1383.0,14223
40968.0,17973.0,71537.0,38113.0,2547.0,129.0,700.0,14224
34471.0,16038.0,56632.0,31802.0,3457.0,861.0,4487.0,14225
29818.0,12635.0,75690.0,46784.0,2385.0,1764.0,2526.0,14226
20990.0,9861.0,61510.0,34759.0,1508.0,300.0,1474.0,14227
24435.0,9964.0,63670.0,35201.0,3983.0,3495.0,1964.0,14228
814.0,0.0,-666666666.0,3352.0,0.0,129.0,115.0,14260
12033.0,5773.0,31406.0,22464.0,4140.0,55.0,3607.0,14301
6466.0,2867.0,36808.0,26828.0,1771.0,306.0,1091.0,14303
28625.0,12496.0,59431.0,32900.0,3081.0,479.0,682.0,14304
16873.0,7150.0,42754.0,27146.0,4032.0,158.0,4702.0,14305
7195.0,2894.0,78322.0,38266.0,451.0,51.0,71.0,14428
7654.0,3373.0,61380.0,30347.0,674.0,66.0,420.0,14445
43264.0,18271.0,97268.0,50600.0,2336.0,1158.0,755.0,14450
10589.0,4426.0,77944.0,36568.0,735.0,747.0,860.0,14467
18154.0,6717.0,83543.0,34734.0,973.0,33.0,305.0,14468
9407.0,3436.0,112958.0,49277.0,563.0,94.0,53.0,14472
775.0,370.0,64688.0,46302.0,44.0,0.0,0.0,14506
6027.0,2550.0,70804.0,38519.0,496.0,55.0,591.0,14514
19931.0,8064.0,92273.0,47265.0,756.0,587.0,449.0,14526
33041.0,12347.0,124152.0,67246.0,836.0,2631.0,729.0,14534
3242.0,1309.0,105575.0,46126.0,132.0,33.0,137.0,14543
4949.0,2099.0,75641.0,35786.0,660.0,21.0,216.0,14546
18939.0,7268.0,87077.0,42152.0,949.0,93.0,253.0,14559
16144.0,6569.0,101125.0,53784.0,450.0,472.0,229.0,14564
54214.0,22955.0,85473.0,46415.0,2569.0,1875.0,1424.0,14580
12795.0,4582.0,100542.0,37150.0,1173.0,2003.0,1304.0,14586
2436.0,1719.0,42574.0,58173.0,584.0,209.0,400.0,14604
11295.0,4065.0,22523.0,18621.0,4507.0,641.0,6013.0,14605
27730.0,11059.0,52264.0,26726.0,5253.0,1049.0,5929.0,14606
17780.0,10829.0,53054.0,44501.0,3078.0,502.0,1419.0,14607
11987.0,5626.0,28901.0,22699.0,5013.0,464.0,5873.0,14608
40959.0,17889.0,53422.0,29506.0,8044.0,378.0,13030.0,14609
13779.0,7155.0,74013.0,57824.0,1486.0,428.0,882.0,14610
18234.0,7237.0,28806.0,18257.0,6811.0,257.0,10635.0,14611
34619.0,15073.0,68421.0,37872.0,2828.0,622.0,2591.0,14612
15697.0,6010.0,32308.0,17950.0,4917.0,1123.0,8035.0,14613
1155.0,54.0,50333.0,6995.0,56.0,12.0,633.0,14614
18115.0,7598.0,47477.0,28353.0,3995.0,919.0,5183.0,14615
27230.0,11388.0,57819.0,29524.0,3848.0,451.0,3208.0,14616
22466.0,9708.0,76365.0,41071.0,1193.0,245.0,867.0,14617
24079.0,8302.0,108665.0,60152.0,1146.0,1699.0,1240.0,14618
14447.0,5545.0,55732.0,28817.0,3514.0,137.0,10052.0,14619
23711.0,12001.0,54363.0,37130.0,4175.0,2069.0,2689.0,14620
33058.0,13001.0,30296.0,18203.0,12011.0,436.0,14480.0,14621
13141.0,5899.0,65850.0,39473.0,1574.0,650.0,927.0,14622
25995.0,8545.0,56533.0,24373.0,3550.0,3716.0,3017.0,14623
38993.0,15274.0,80325.0,37142.0,2694.0,890.0,4336.0,14624
9955.0,4580.0,91282.0,51112.0,593.0,168.0,129.0,14625
29738.0,12790.0,75188.0,38065.0,2404.0,991.0,1940.0,14626
0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,14642
67991.0,28182.0,58846.0,38080.0,12353.0,9120.0,3023.0,14850
2125.0,0.0,-666666666.0,2380.0,0.0,342.0,373.0,14853
3971.0,1561.0,89519.0,47965.0,131.0,27.0,159.0,14882
4696.0,1878.0,62183.0,32183.0,445.0,65.0,138.0,14883
32200.0,14182.0,61815.0,36109.0,3430.0,220.0,4280.0,15001
11414.0,5160.0,52603.0,30476.0,956.0,128.0,872.0,15003
9295.0,3887.0,72447.0,45525.0,605.0,23.0,104.0,15005
15813.0,6645.0,73191.0,38301.0,1339.0,104.0,273.0,15009
28863.0,11743.0,63856.0,32452.0,3558.0,159.0,2406.0,15010
3135.0,1463.0,43479.0,23892.0,687.0,13.0,235.0,15014
16579.0,7372.0,79129.0,48374.0,941.0,632.0,543.0,15017
8863.0,3474.0,77768.0,38278.0,823.0,412.0,147.0,15024
16515.0,7017.0,66221.0,43309.0,1502.0,549.0,2826.0,15025
2310.0,1157.0,57043.0,34838.0,227.0,0.0,0.0,15027
1070.0,484.0,50000.0,25897.0,222.0,3.0,12.0,15030
492.0,230.0,31500.0,19676.0,170.0,102.0,23.0,15031
1592.0,850.0,35417.0,31034.0,264.0,0.0,75.0,15034
2047.0,1031.0,53702.0,33441.0,129.0,6.0,142.0,15035
8040.0,3397.0,66067.0,38859.0,859.0,9.0,39.0,15042
28424.0,10641.0,120955.0,63033.0,1056.0,502.0,288.0,15044
4458.0,1897.0,43458.0,24086.0,744.0,26.0,272.0,15045
2622.0,1103.0,76680.0,36324.0,170.0,49.0,30.0,15046
915.0,498.0,49412.0,31344.0,127.0,10.0,0.0,15049
464.0,238.0,67974.0,37572.0,0.0,0.0,53.0,15051
1061.0,521.0,58229.0,35241.0,86.0,56.0,41.0,15056
17637.0,6301.0,98523.0,41437.0,609.0,1505.0,177.0,15057
12493.0,5225.0,67031.0,31746.0,1299.0,34.0,403.0,15061
237.0,134.0,71071.0,43334.0,11.0,0.0,0.0,15064
11259.0,5041.0,58759.0,36267.0,1162.0,204.0,301.0,15065
12384.0,5669.0,49263.0,31384.0,1706.0,28.0,628.0,15066
36931.0,16352.0,55690.0,32323.0,5322.0,309.0,2576.0,15068
11927.0,5017.0,86250.0,44405.0,768.0,306.0,313.0,15071
8126.0,3600.0,47345.0,27241.0,1316.0,40.0,699.0,15074
827.0,411.0,-666666666.0,26324.0,94.0,0.0,3.0,15076
330.0,165.0,67292.0,37491.0,23.0,0.0,0.0,15081
196.0,77.0,-666666666.0,41894.0,0.0,0.0,0.0,15082
9882.0,4430.0,50500.0,31105.0,1196.0,40.0,309.0,15084
7889.0,3309.0,70664.0,33735.0,454.0,173.0,8.0,15085
26233.0,10766.0,90743.0,49215.0,958.0,802.0,482.0,15101
30765.0,13470.0,95479.0,47788.0,1250.0,536.0,523.0,15102
8098.0,3744.0,32924.0,28156.0,2480.0,45.0,4702.0,15104
19234.0,9375.0,62658.0,40635.0,1407.0,316.0,1292.0,15106
43305.0,16998.0,83882.0,42839.0,2171.0,1637.0,2203.0,15108
5280.0,2138.0,37478.0,20319.0,1491.0,0.0,2556.0,15110
3147.0,1470.0,42583.0,25117.0,592.0,0.0,1644.0,15112
14088.0,5797.0,83014.0,42964.0,443.0,197.0,209.0,15116
18332.0,8449.0,46139.0,31228.0,3178.0,142.0,3599.0,15120
19348.0,8237.0,57705.0,30822.0,2689.0,194.0,2163.0,15122
4.0,0.0,-666666666.0,28325.0,0.0,0.0,0.0,15123
6684.0,3093.0,84390.0,40380.0,303.0,61.0,52.0,15126
8274.0,3952.0,56449.0,37463.0,770.0,22.0,204.0,15131
19591.0,9155.0,32782.0,22760.0,5016.0,272.0,6910.0,15132
6078.0,2812.0,59541.0,32698.0,453.0,48.0,297.0,15133
23071.0,9988.0,56607.0,34720.0,3855.0,435.0,3719.0,15136
10242.0,4651.0,43904.0,34638.0,1752.0,147.0,1875.0,15137
6722.0,3274.0,73281.0,54835.0,242.0,8.0,31.0,15139
3117.0,1482.0,34331.0,20542.0,597.0,76.0,789.0,15140
