Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,zcta
18445,8289,46120,27480,4117,1396,13230,478,80,2724
2359,846,129235,88369,40,34,2222,0,0,2725
15907,6498,103508,46446,626,30,15075,202,0,2726
6511,2982,110179,68867,165,0,6057,29,54,2739
46623,19467,51599,28832,8603,3100,26894,926,475,2740
10466,4070,88273,44616,680,30,9826,52,6,2743
12465,5173,52290,26470,1794,663,7576,89,25,2744
25084,10251,70338,36181,2951,499,18655,257,8,2745
16286,6731,39545,23693,5267,1269,7527,22,139,2746
21383,7095,94831,41285,1061,782,18335,679,8,2747
11431,4834,105108,62823,614,83,10440,200,0,2748
29149,11925,104360,53164,1561,578,25212,1671,0,2760
9814,4213,99720,56180,677,775,7978,364,0,2762
1601,688,106667,60892,54,0,1581,20,0,2763
4463,1544,119545,44700,101,0,4165,0,0,2764
19177,6588,112284,49613,1026,1033,16783,416,6,2766
15432,5749,110573,51693,1432,980,13000,399,0,2767
12614,4518,124306,50498,599,65,12178,48,0,2769
5564,2064,114313,53812,173,15,5434,1,0,2770
15475,5775,108479,46565,638,447,13944,54,0,2771
17158,6809,110975,47358,542,213,15918,220,48,2777
6768,2192,140000,50050,86,228,6123,8,13,2779
51915,21232,68948,35765,6657,3960,39449,1198,132,2780
16431,6692,90691,49747,1167,7,15650,88,0,2790
702,348,113056,44102,124,0,613,0,0,2802
17121,6053,145028,75957,777,45,15448,737,17,2806
22420,8114,91382,46559,1468,297,20593,442,11,2809
7444,2906,103605,44158,296,0,7204,38,5,2814
33148,13560,94026,44632,2705,61,30620,487,21,2816
6535,2337,119137,46003,133,47,5976,105,6,2817
19876,8398,120219,75721,1152,154,17366,1357,115,2818
6241,1958,103289,41675,618,157,5478,44,11,2822
7263,3124,92340,51748,204,50,6736,125,14,2828
6766,2608,118790,47397,463,1,6393,220,0,2830
3840,1353,129122,55713,122,0,3769,38,0,2831
5554,2499,131875,82009,242,3,5312,0,15,2835
3468,1269,72278,34479,475,8,2790,91,1,2838
23382,9851,103764,53539,1676,141,20724,815,28,2852
8031,3254,106250,50331,212,17,7677,117,0,2857
47677,19520,54462,31569,7944,9551,21947,513,312,2860
27527,11082,78977,36943,2267,3035,18219,410,137,2861
22359,7358,43092,19552,5312,1793,7170,44,136,2863
36142,14142,109746,49155,2034,910,31092,1202,7,2864
18306,6924,110639,51909,1132,245,15740,1095,0,2865
17748,7248,107360,60148,915,200,16137,173,0,2871
16324,6782,92444,48796,942,200,15453,127,6,2878
11117,5006,81575,47670,1149,173,10333,50,0,2885
30540,13185,81788,42718,1863,742,26566,1372,109,2886
18443,8602,81505,45853,1679,1137,15675,192,74,2888
28209,11377,81226,40068,2171,564,24890,614,100,2889
30909,13878,71851,40596,2910,718,25845,1049,47,2893
43163,17003,54483,29104,8111,3346,26706,2711,544,2895
11449,4523,100669,48820,610,46,10983,120,0,2896
12039,5236,57850,46935,1788,1095,7868,1529,31,2903
31214,13190,61853,36337,5616,3203,18796,1419,5,2904
25674,9658,53668,32012,5161,4368,11768,883,121,2905
26437,12355,98563,74345,3207,1133,19841,2848,10,2906
32697,10847,46010,22412,7677,4574,7855,1869,484,2907
39099,14626,68268,33180,6884,7494,18773,1781,276,2908
42629,15108,58085,26985,9936,7884,16811,1594,244,2909
23598,8883,86709,39512,1977,906,15884,1727,217,2910
15866,6597,78115,39842,1599,1591,11758,641,4,2911
21742,9204,60343,37152,2991,1929,15958,761,66,2914
16415,7451,82546,44383,1517,577,13586,249,13,2915
8855,3755,92602,50329,531,244,8048,37,9,2916
14868,4747,94531,39855,638,271,13462,498,20,2917
29453,11432,83408,42184,2173,1140,24239,328,2,2919
36907,14725,70076,36361,3307,2496,26448,2310,109,2920
12205,4663,123066,59915,515,189,10315,1202,38,2921
5949,2004,138750,55418,65,58,5551,0,0,3032
4202,1586,117500,50395,56,45,4078,0,0,3034
5237,1736,135326,51947,72,9,5125,58,1,3036
34506,13180,94655,44408,2732,312,31735,592,27,3038
14165,5336,109452,51271,753,21,13206,119,18,3045
3000,1061,138036,56611,63,10,2923,20,0,3046
8429,3285,155339,82702,153,303,7331,124,20,3049
